task,n,processes,threads,total_workers,Average of total,Average of search,Average of communication,Average of post,Speedup,Serial Fraction,Parallel Fraction,Theoretical Speedup,,,,,,,,,,,,,
task2,10000000,2,1,2,3.425,3.217,0.002,0.207,2.939,0.035,0.965,1.933,,,,,,,,,,,,,
task2,10000000,2,2,4,1.975,1.752,0.003,0.219,5.097,0.035,0.965,3.623,,,,,,,,,,,,,
task2,10000000,2,4,8,1.165,0.954,0.004,0.206,8.642,0.035,0.965,6.436,,,,,,,,,,,,,
task2,10000000,2,8,16,0.873,0.650,0.006,0.215,11.525,0.035,0.965,10.522,,,,,,,,,,,,,
task2,10000000,4,1,4,2.006,1.758,0.056,0.246,5.019,0.035,0.965,3.623,,,,,,,,,,,,,
task2,10000000,4,2,8,1.213,0.967,0.018,0.244,8.296,0.035,0.965,6.436,,,,,,,,,,,,,
task2,10000000,4,4,16,0.946,0.685,0.010,0.258,10.643,0.035,0.965,10.522,,,,,,,,,,,,,
task2,10000000,8,1,8,1.298,0.983,0.050,0.313,7.756,0.035,0.965,6.436,,,,,,,,,,,,,
task2,10000000,8,2,16,1.033,0.672,0.025,0.358,9.745,0.035,0.965,10.522,,,,,,,,,,,,,
task2,10000000,16,1,16,1.300,0.684,0.044,0.612,7.741,0.035,0.965,10.522,,,,,,,,,,,,,
task2,20000000,1,1,1,16.689,16.256,0.002,0.430,1.598,0.026,0.974,1.000,,,,,,,,,,,,,
task2,20000000,1,2,2,9.052,8.622,0.002,0.426,2.947,0.026,0.974,1.950,,,,,,,,,,,,,
task2,20000000,1,4,4,5.225,4.781,0.002,0.438,5.105,0.026,0.974,3.713,,,,,,,,,,,,,
task2,20000000,1,8,8,3.038,2.601,0.002,0.429,8.781,0.026,0.974,6.779,,,,,,,,,,,,,
task2,20000000,1,16,16,2.434,1.950,0.002,0.475,10.958,0.026,0.974,11.543,,,,,,,,,,,,,
task2,20000000,2,1,2,9.166,8.738,0.002,0.426,2.910,0.026,0.974,1.950,,,,,,,,,,,,,
